packet_id,organization_name,proposed_tag,resolution_status,resolved_tag_id,resolved_tag_slug,resolved_tag_name,resolved_tag_category,rationale,note
curated-sme-b-006-green-endeavour,Green Endeavour,audit workflow,resolved,9e24245f-8c27-43c5-b82c-9bf711f0970d,compliance,Compliance,problem_category,Closest live problem-category tag for outlet auditing and process controls.,Resolved against live public.tags in the hosted project.
curated-sme-b-006-green-endeavour,Green Endeavour,paperless operations,resolved,7facd157-fd0a-4e75-9fda-53cc3e8c336a,operations,Operations,function,Closest live function tag for digitized operational workflows.,Resolved against live public.tags in the hosted project.
curated-sme-c-001-curantis-solutions,Curantis Solutions,healthcare technology,resolved,4a38b7b8-5af8-413a-a3aa-9563598ebe08,healthcare,Healthcare,industry,Closest live industry tag for a healthcare software company serving clinical use cases.,Resolved against live public.tags in the hosted project.
curated-sme-c-001-curantis-solutions,Curantis Solutions,data interoperability,resolved,c0ac22e3-d753-4c96-807d-e646c3a4672c,it,IT,function,Closest live function tag for interoperability and data-platform work.,Resolved against live public.tags in the hosted project.
curated-sme-c-001-curantis-solutions,Curantis Solutions,analytics,resolved,02bb6ae2-908c-4990-9222-b62b9ea5df5a,visibility,Visibility,problem_category,Closest live problem-category tag for improved data visibility and decision support.,Resolved against live public.tags in the hosted project.
curated-sme-c-001-curantis-solutions,Curantis Solutions,clinical data,resolved,4a38b7b8-5af8-413a-a3aa-9563598ebe08,healthcare,Healthcare,industry,Closest live industry tag in the current taxonomy.,Resolved against live public.tags in the hosted project.
curated-sme-c-003-healthserve,HealthServe,health services,resolved,4a38b7b8-5af8-413a-a3aa-9563598ebe08,healthcare,Healthcare,industry,Closest live industry tag for the organization's healthcare and support mission.,Resolved against live public.tags in the hosted project.
curated-sme-c-003-healthserve,HealthServe,case management,resolved,7facd157-fd0a-4e75-9fda-53cc3e8c336a,operations,Operations,function,Closest live function tag for the documented support workflow.,Resolved against live public.tags in the hosted project.
curated-sme-c-003-healthserve,HealthServe,intake workflow,resolved,7facd157-fd0a-4e75-9fda-53cc3e8c336a,operations,Operations,function,Closest live function tag for intake and follow-up handling.,Resolved against live public.tags in the hosted project.
curated-sme-c-003-healthserve,HealthServe,support operations,resolved,7facd157-fd0a-4e75-9fda-53cc3e8c336a,operations,Operations,function,Closest live function tag for the support operation described in the packet.,Resolved against live public.tags in the hosted project.
